id,age,gender,device_type,ad_position,browsing_history,time_of_day,click
2244,42.0,Female,Mobile,Top,Entertainment,Evening,0
4952,41.0,Female,Desktop,Bottom,Entertainment,Night,0
4855,39.5,Non-Binary,Desktop,Top,Entertainment,Morning,0
9590,39.5,Non-Binary,Tablet,Bottom,Entertainment,Morning,0
813,39.5,Female,Tablet,Top,Education,Morning,1
4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1
9431,39.5,Female,Mobile,Top,Entertainment,Afternoon,1
6935,39.5,Male,Mobile,Bottom,Entertainment,Morning,0
2431,54.0,Male,Desktop,Top,Entertainment,Night,1
3164,39.5,Female,Desktop,Bottom,Entertainment,Evening,1
4756,39.5,Non-Binary,Mobile,Bottom,Education,Evening,1
1524,24.0,Female,Mobile,Bottom,Entertainment,Night,1
7674,39.5,Female,Desktop,Bottom,News,Afternoon,1
6251,44.0,Non-Binary,Desktop,Side,Shopping,Morning,1
6751,39.5,Female,Tablet,Bottom,Entertainment,Evening,0
9996,48.0,Female,Desktop,Top,Shopping,Evening,0
2973,27.0,Non-Binary,Desktop,Bottom,Entertainment,Night,1
6315,39.5,Female,Desktop,Top,Entertainment,Afternoon,1
7065,57.0,Female,Desktop,Bottom,Entertainment,Morning,1
9412,39.5,Female,Desktop,Bottom,Social Media,Morning,1
3458,39.5,Female,Tablet,Bottom,Entertainment,Morning,0
6121,39.5,Female,Desktop,Top,Entertainment,Afternoon,0
487,28.0,Female,Mobile,Side,Entertainment,Afternoon,1
3266,39.5,Male,Tablet,Top,News,Afternoon,1
5574,52.0,Female,Desktop,Bottom,Shopping,Afternoon,1
6553,39.5,Female,Desktop,Bottom,Education,Morning,1
8996,22.0,Female,Desktop,Bottom,Entertainment,Evening,0
503,43.0,Female,Desktop,Bottom,Social Media,Morning,1
4581,51.0,Female,Desktop,Top,Entertainment,Morning,0
3266,39.5,Male,Tablet,Top,News,Afternoon,1
8956,39.5,Male,Tablet,Bottom,News,Morning,1
9990,39.5,Male,Desktop,Side,Entertainment,Night,1
7426,39.5,Female,Mobile,Side,Entertainment,Night,0
6100,39.5,Female,Desktop,Bottom,Education,Morning,1
3543,39.5,Female,Desktop,Top,Entertainment,Night,1
7866,39.5,Female,Mobile,Top,Social Media,Morning,1
7917,39.5,Non-Binary,Tablet,Side,Entertainment,Afternoon,0
63,39.5,Female,Tablet,Top,Social Media,Morning,0
5340,19.0,Female,Mobile,Side,Entertainment,Night,0
2907,39.5,Female,Mobile,Side,News,Morning,0
7545,25.0,Male,Tablet,Bottom,News,Evening,0
3746,39.5,Female,Desktop,Bottom,Entertainment,Morning,1
6906,39.5,Female,Mobile,Top,Entertainment,Morning,1
1665,19.0,Female,Mobile,Bottom,Entertainment,Afternoon,0
1762,41.0,Male,Desktop,Bottom,Entertainment,Afternoon,1
8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0
4086,39.5,Female,Desktop,Top,Entertainment,Morning,1
9896,45.0,Female,Desktop,Side,Entertainment,Afternoon,0
1503,19.0,Female,Desktop,Side,Entertainment,Morning,1
571,39.5,Male,Tablet,Bottom,Social Media,Afternoon,0
7591,39.5,Male,Desktop,Top,Entertainment,Night,0
5531,34.0,Male,Desktop,Top,News,Morning,1
5419,39.5,Male,Tablet,Bottom,Entertainment,Morning,1
9921,39.5,Female,Desktop,Side,Entertainment,Night,0
5338,51.0,Male,Mobile,Bottom,Social Media,Morning,1
5821,31.0,Female,Desktop,Bottom,Education,Morning,0
4890,43.0,Male,Desktop,Bottom,Education,Afternoon,1
9992,39.5,Male,Desktop,Side,Shopping,Evening,1
9153,61.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,0
2096,48.0,Non-Binary,Desktop,Top,Entertainment,Night,1
4777,39.5,Female,Tablet,Side,Entertainment,Morning,0
6683,39.5,Female,Tablet,Bottom,Entertainment,Night,1
6880,39.5,Female,Mobile,Side,News,Night,1
2021,41.0,Female,Mobile,Bottom,Entertainment,Night,1
5986,32.0,Female,Desktop,Side,Entertainment,Morning,0
5484,64.0,Female,Mobile,Side,Education,Morning,0
8948,25.0,Female,Mobile,Bottom,Education,Morning,1
3109,39.5,Female,Desktop,Side,Entertainment,Morning,1
3042,39.5,Female,Desktop,Side,Entertainment,Afternoon,1
3225,23.0,Female,Tablet,Bottom,Entertainment,Morning,1
3801,26.0,Non-Binary,Desktop,Side,Entertainment,Evening,1
1190,39.5,Non-Binary,Tablet,Bottom,Education,Morning,1
1077,39.5,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
3062,39.5,Male,Desktop,Bottom,Entertainment,Morning,1
6060,39.5,Female,Desktop,Top,News,Morning,0
4697,39.5,Female,Mobile,Side,Entertainment,Afternoon,1
6849,39.0,Female,Mobile,Bottom,Entertainment,Night,1
1908,26.0,Female,Mobile,Bottom,Entertainment,Morning,1
5703,55.0,Female,Tablet,Side,Shopping,Night,0
4856,21.0,Female,Desktop,Top,Entertainment,Evening,0
1197,39.5,Male,Mobile,Top,Social Media,Night,1
9307,39.5,Female,Desktop,Bottom,Social Media,Evening,0
8683,26.0,Female,Desktop,Side,Entertainment,Morning,0
820,39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0
6315,39.5,Female,Desktop,Top,Entertainment,Afternoon,1
8010,24.0,Female,Desktop,Top,Entertainment,Morning,0
2364,54.0,Female,Desktop,Side,Entertainment,Afternoon,0
4507,42.0,Female,Desktop,Bottom,Entertainment,Morning,0
1549,39.5,Female,Desktop,Top,Entertainment,Afternoon,1
4630,19.0,Non-Binary,Tablet,Side,Shopping,Evening,0
3577,58.0,Female,Desktop,Side,Social Media,Afternoon,0
5845,39.5,Female,Tablet,Bottom,Shopping,Morning,0
8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
5418,39.5,Male,Desktop,Top,Entertainment,Morning,1
255,31.0,Female,Desktop,Bottom,Entertainment,Night,1
4621,20.0,Female,Desktop,Bottom,Entertainment,Morning,1
1704,61.0,Female,Desktop,Bottom,Entertainment,Morning,1
118,43.0,Female,Tablet,Bottom,Social Media,Night,0
8957,39.5,Female,Mobile,Top,Entertainment,Morning,1
3314,35.0,Female,Tablet,Top,News,Evening,0
5995,39.5,Male,Desktop,Top,Entertainment,Morning,0
3007,42.0,Male,Desktop,Top,Shopping,Night,0
1325,39.5,Female,Desktop,Side,Entertainment,Evening,1
756,39.5,Female,Desktop,Bottom,Entertainment,Evening,0
5194,53.0,Male,Mobile,Top,Entertainment,Morning,1
4611,20.0,Female,Tablet,Bottom,Social Media,Night,0
2023,19.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
2565,39.5,Non-Binary,Desktop,Bottom,Shopping,Night,0
2965,39.5,Non-Binary,Tablet,Top,Shopping,Morning,0
8041,39.5,Female,Mobile,Bottom,Entertainment,Afternoon,1
6258,39.5,Female,Tablet,Top,Entertainment,Night,1
3375,52.0,Female,Mobile,Bottom,Education,Morning,1
7805,36.0,Male,Mobile,Bottom,Entertainment,Afternoon,0
3062,34.0,Male,Desktop,Bottom,Entertainment,Evening,1
6449,42.0,Female,Desktop,Top,Shopping,Night,1
9647,34.0,Non-Binary,Desktop,Side,Entertainment,Evening,0
5439,38.0,Female,Tablet,Side,Social Media,Afternoon,1
9400,39.5,Non-Binary,Mobile,Side,Education,Night,1
1914,42.0,Female,Desktop,Bottom,Shopping,Morning,1
9732,27.0,Male,Desktop,Bottom,Education,Evening,0
5642,57.0,Female,Tablet,Bottom,News,Morning,0
9689,39.5,Male,Desktop,Bottom,Entertainment,Morning,1
7655,39.0,Female,Desktop,Bottom,Entertainment,Morning,0
5780,39.5,Female,Mobile,Bottom,Entertainment,Morning,1
2976,39.5,Female,Desktop,Bottom,Shopping,Afternoon,0
6262,39.5,Female,Desktop,Bottom,Entertainment,Morning,0
3663,39.5,Female,Mobile,Bottom,Social Media,Morning,0
8103,39.5,Non-Binary,Desktop,Top,Entertainment,Night,0
2757,35.0,Female,Mobile,Bottom,Social Media,Night,0
9136,39.5,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
6974,53.0,Female,Desktop,Side,Education,Evening,0
1486,39.5,Female,Desktop,Side,Entertainment,Morning,0
606,39.5,Female,Desktop,Bottom,Entertainment,Afternoon,1
1612,40.0,Female,Mobile,Side,News,Evening,1
6438,53.0,Non-Binary,Tablet,Bottom,Entertainment,Night,1
3225,23.0,Female,Desktop,Bottom,Entertainment,Morning,1
9842,43.0,Non-Binary,Mobile,Bottom,Shopping,Afternoon,1
8817,39.5,Male,Tablet,Bottom,Entertainment,Night,1
1020,39.5,Female,Mobile,Side,Education,Morning,1
1635,54.0,Female,Desktop,Top,Entertainment,Morning,1
3776,39.5,Female,Desktop,Top,Social Media,Evening,0
5412,35.0,Female,Mobile,Top,Entertainment,Evening,1
6989,28.0,Male,Mobile,Bottom,Shopping,Afternoon,1
8018,39.5,Female,Desktop,Side,Entertainment,Night,1
2529,39.5,Female,Desktop,Bottom,Entertainment,Afternoon,1
3285,39.5,Male,Tablet,Side,News,Morning,0
2156,46.0,Female,Tablet,Side,Entertainment,Morning,1
8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1
9418,20.0,Male,Desktop,Side,News,Morning,1
8190,26.0,Female,Mobile,Side,Entertainment,Afternoon,1
1140,28.0,Male,Desktop,Side,Entertainment,Evening,0
3149,39.5,Male,Desktop,Top,Entertainment,Night,0
5629,39.5,Female,Tablet,Bottom,Entertainment,Night,1
9748,47.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
4086,39.5,Female,Desktop,Top,Entertainment,Morning,1
9400,39.5,Non-Binary,Mobile,Side,Education,Night,1
6449,39.5,Female,Desktop,Top,Shopping,Night,1
9699,39.5,Female,Desktop,Bottom,Shopping,Morning,0
2809,39.5,Non-Binary,Desktop,Top,News,Afternoon,0
4089,39.5,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
2885,39.5,Non-Binary,Desktop,Bottom,Education,Afternoon,0
1190,39.5,Non-Binary,Tablet,Bottom,Education,Morning,1
8068,39.5,Female,Mobile,Side,Shopping,Afternoon,0
5082,44.0,Female,Mobile,Top,Entertainment,Afternoon,1
1345,34.0,Female,Desktop,Top,Entertainment,Morning,0
4938,39.5,Male,Desktop,Side,Social Media,Evening,1
5623,53.0,Female,Desktop,Side,Entertainment,Morning,1
5329,54.0,Male,Tablet,Side,Entertainment,Evening,1
9990,25.0,Male,Desktop,Side,Entertainment,Night,1
3746,39.5,Male,Desktop,Top,Entertainment,Morning,1
7993,39.5,Non-Binary,Mobile,Bottom,Social Media,Morning,1
5955,39.5,Female,Tablet,Bottom,Entertainment,Evening,1
5100,42.0,Female,Mobile,Side,Shopping,Morning,1
6129,36.0,Female,Tablet,Bottom,Entertainment,Evening,1
4625,33.0,Non-Binary,Mobile,Top,News,Morning,0
8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
3215,33.0,Male,Mobile,Side,Entertainment,Afternoon,0
4151,39.5,Female,Desktop,Bottom,Entertainment,Evening,0
8176,39.5,Male,Desktop,Top,News,Afternoon,0
1908,26.0,Male,Mobile,Bottom,Entertainment,Evening,1
2142,34.0,Non-Binary,Desktop,Bottom,Shopping,Afternoon,1
4212,39.5,Female,Desktop,Bottom,News,Morning,0
9137,35.0,Female,Desktop,Side,Social Media,Morning,0
8085,35.0,Non-Binary,Mobile,Bottom,Entertainment,Evening,0
933,41.0,Female,Tablet,Bottom,Entertainment,Night,0
4779,39.5,Female,Tablet,Top,Entertainment,Afternoon,0
4925,47.0,Female,Desktop,Side,Entertainment,Evening,0
6167,20.0,Male,Mobile,Side,Shopping,Night,1
3818,27.0,Female,Desktop,Top,Shopping,Night,0
6919,45.0,Non-Binary,Desktop,Top,Social Media,Night,0
7779,36.0,Female,Desktop,Bottom,Entertainment,Morning,0
1612,40.0,Female,Mobile,Side,News,Evening,1
6441,39.5,Female,Desktop,Top,Entertainment,Night,1
7808,26.0,Female,Desktop,Top,Entertainment,Night,1
550,39.5,Female,Desktop,Top,Entertainment,Morning,0
1612,40.0,Female,Mobile,Side,News,Evening,1
3644,39.5,Female,Mobile,Side,Entertainment,Evening,1
7422,39.5,Female,Desktop,Top,Entertainment,Evening,1
5732,39.5,Non-Binary,Desktop,Bottom,Entertainment,Evening,1
8222,27.0,Female,Tablet,Side,News,Afternoon,1
4450,45.0,Female,Mobile,Top,Entertainment,Evening,0
3277,39.5,Female,Mobile,Side,News,Morning,0
8174,20.0,Female,Mobile,Bottom,Entertainment,Morning,1
1127,39.5,Female,Desktop,Bottom,Entertainment,Afternoon,1
3345,39.5,Male,Desktop,Bottom,Entertainment,Night,1
6553,39.5,Female,Desktop,Bottom,Education,Morning,1
453,39.5,Female,Tablet,Top,Entertainment,Afternoon,1
4345,39.5,Female,Desktop,Bottom,Education,Afternoon,0
6268,39.5,Female,Desktop,Bottom,Entertainment,Night,1
329,36.0,Female,Desktop,Top,Entertainment,Night,0
9266,38.0,Female,Mobile,Bottom,Education,Afternoon,1
6917,39.5,Non-Binary,Mobile,Bottom,Entertainment,Afternoon,0
8561,52.0,Male,Mobile,Bottom,Entertainment,Evening,1
9448,39.5,Non-Binary,Mobile,Side,Entertainment,Morning,0
7272,39.5,Female,Tablet,Bottom,News,Afternoon,0
234,19.0,Female,Tablet,Bottom,Social Media,Morning,1
255,39.5,Female,Desktop,Bottom,Entertainment,Night,1
2129,47.0,Female,Tablet,Bottom,Social Media,Evening,1
7678,53.0,Female,Desktop,Top,Social Media,Night,0
8515,39.5,Non-Binary,Mobile,Bottom,Entertainment,Night,1
2173,39.5,Female,Desktop,Bottom,Shopping,Night,1
5571,39.5,Female,Desktop,Side,Entertainment,Evening,0
9611,39.5,Male,Desktop,Side,Entertainment,Afternoon,1
5737,29.0,Female,Desktop,Top,Shopping,Night,0
7788,63.0,Non-Binary,Mobile,Side,Entertainment,Night,0
7471,39.5,Female,Mobile,Bottom,Entertainment,Morning,1
9811,39.5,Female,Mobile,Side,Entertainment,Morning,0
8115,20.0,Female,Mobile,Top,Social Media,Afternoon,1
217,39.5,Female,Tablet,Bottom,Education,Morning,0
234,39.5,Female,Desktop,Bottom,Social Media,Morning,1
6864,39.5,Female,Desktop,Side,Social Media,Evening,0
6462,36.0,Female,Tablet,Side,Education,Evening,1
1214,26.0,Female,Mobile,Bottom,News,Evening,1
3543,55.0,Female,Desktop,Top,Entertainment,Night,1
7214,62.0,Non-Binary,Mobile,Bottom,Education,Morning,0
3236,56.0,Female,Mobile,Bottom,Education,Morning,1
8957,39.5,Female,Desktop,Top,Entertainment,Morning,1
1214,26.0,Female,Mobile,Bottom,Entertainment,Evening,1
6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1
6602,39.5,Female,Desktop,Bottom,Entertainment,Morning,1
9400,39.5,Female,Mobile,Side,Education,Morning,1
5501,28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1
5084,39.5,Non-Binary,Tablet,Side,Entertainment,Morning,1
1020,39.5,Female,Desktop,Side,Entertainment,Morning,1
9618,39.5,Non-Binary,Desktop,Bottom,Education,Morning,0
4228,39.5,Female,Desktop,Side,Entertainment,Morning,1
7659,19.0,Female,Mobile,Top,News,Night,0
2003,39.5,Female,Desktop,Bottom,News,Afternoon,0
9736,46.0,Female,Desktop,Bottom,Education,Morning,1
487,28.0,Male,Mobile,Side,Entertainment,Afternoon,1
4429,39.5,Female,Desktop,Top,Entertainment,Morning,1
998,39.5,Female,Tablet,Top,Entertainment,Evening,1
8226,39.5,Female,Tablet,Bottom,Entertainment,Morning,1
9220,21.0,Female,Mobile,Side,Entertainment,Night,1
1420,62.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
2485,39.5,Non-Binary,Mobile,Bottom,News,Morning,1
4841,21.0,Female,Desktop,Side,Education,Evening,0
8316,39.5,Male,Desktop,Bottom,Entertainment,Morning,0
3601,39.5,Non-Binary,Mobile,Bottom,Entertainment,Morning,1
9290,61.0,Female,Desktop,Bottom,Entertainment,Morning,1
5258,50.0,Non-Binary,Desktop,Side,Education,Night,0
9431,39.5,Male,Mobile,Top,Entertainment,Afternoon,1
885,49.0,Female,Tablet,Side,Entertainment,Afternoon,0
7866,39.5,Female,Mobile,Bottom,Social Media,Morning,1
1110,43.0,Female,Mobile,Side,Entertainment,Morning,0
1539,43.0,Female,Mobile,Bottom,Education,Evening,1
2722,39.0,Female,Desktop,Top,Entertainment,Evening,1
5890,56.0,Female,Mobile,Bottom,News,Night,1
5062,39.5,Male,Tablet,Bottom,Entertainment,Night,0
6125,18.0,Female,Desktop,Bottom,Entertainment,Afternoon,0
2964,40.0,Non-Binary,Mobile,Side,Entertainment,Morning,1
6573,55.0,Non-Binary,Desktop,Side,Entertainment,Evening,1
2133,39.5,Female,Tablet,Side,Shopping,Morning,0
3014,39.5,Female,Mobile,Top,Entertainment,Morning,1
6619,36.0,Female,Tablet,Bottom,Social Media,Evening,0
579,39.5,Female,Tablet,Side,Entertainment,Evening,0
3938,39.5,Male,Mobile,Bottom,Entertainment,Morning,1
949,39.5,Female,Desktop,Top,Social Media,Morning,0
6145,39.5,Female,Desktop,Side,Education,Evening,0
9075,36.0,Female,Mobile,Bottom,Entertainment,Morning,1
3658,39.5,Female,Desktop,Side,Shopping,Night,1
7993,39.5,Non-Binary,Mobile,Bottom,Social Media,Morning,1
6602,39.5,Female,Desktop,Side,Entertainment,Night,1
2760,55.0,Female,Desktop,Top,Entertainment,Morning,0
4616,39.5,Female,Desktop,Side,Entertainment,Evening,0
1503,19.0,Female,Tablet,Side,Entertainment,Afternoon,1
9550,58.0,Female,Desktop,Top,Education,Afternoon,1
9227,39.5,Non-Binary,Desktop,Side,Entertainment,Morning,1
5522,19.0,Female,Desktop,Bottom,Entertainment,Night,0
7438,39.5,Non-Binary,Desktop,Side,News,Morning,1
5733,39.5,Female,Mobile,Bottom,Entertainment,Morning,0
4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1
6771,39.5,Female,Desktop,Side,Entertainment,Morning,1
8442,54.0,Female,Tablet,Bottom,News,Evening,0
393,39.5,Female,Desktop,Bottom,Shopping,Morning,1
8252,39.5,Male,Desktop,Side,Entertainment,Night,1
8947,22.0,Male,Desktop,Bottom,Entertainment,Morning,1
6423,39.5,Female,Tablet,Side,Shopping,Afternoon,0
670,22.0,Female,Desktop,Bottom,Shopping,Afternoon,1
9245,39.5,Female,Tablet,Top,Education,Morning,0
3232,22.0,Female,Tablet,Bottom,Entertainment,Night,0
6479,39.5,Male,Tablet,Side,Entertainment,Afternoon,1
8226,39.5,Male,Tablet,Top,Entertainment,Morning,1
4254,19.0,Male,Desktop,Bottom,Entertainment,Afternoon,1
1099,36.0,Male,Tablet,Top,Shopping,Night,0
3641,39.5,Female,Tablet,Bottom,Entertainment,Night,1
3014,39.5,Female,Mobile,Top,Entertainment,Afternoon,1
2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1
9807,35.0,Non-Binary,Tablet,Bottom,Education,Night,1
9806,58.0,Male,Desktop,Bottom,Entertainment,Evening,1
6883,32.0,Male,Desktop,Side,News,Afternoon,0
1470,25.0,Male,Tablet,Top,Social Media,Evening,0
645,39.5,Female,Tablet,Side,Entertainment,Morning,0
4015,39.5,Male,Desktop,Side,Entertainment,Morning,1
8208,39.5,Female,Tablet,Top,Education,Evening,1
5425,39.5,Female,Mobile,Side,Entertainment,Afternoon,1
4874,39.5,Male,Mobile,Bottom,News,Morning,0
1914,39.5,Male,Desktop,Bottom,Shopping,Morning,1
4950,28.0,Male,Mobile,Bottom,Entertainment,Morning,1
24,39.5,Female,Tablet,Side,Entertainment,Morning,1
7450,39.5,Female,Desktop,Side,News,Night,1
2019,42.0,Female,Tablet,Top,Entertainment,Night,0
1446,39.5,Female,Desktop,Bottom,News,Night,1
7750,46.0,Female,Mobile,Side,Social Media,Morning,1
2337,40.0,Male,Desktop,Top,Entertainment,Morning,1
4178,41.0,Male,Desktop,Top,Entertainment,Morning,0
6487,19.0,Male,Desktop,Side,Entertainment,Morning,1
3057,39.5,Female,Desktop,Top,Entertainment,Afternoon,0
6765,46.0,Female,Desktop,Bottom,Entertainment,Morning,1
5193,50.0,Female,Desktop,Bottom,Education,Afternoon,1
6906,39.5,Non-Binary,Mobile,Top,Entertainment,Morning,1
2555,39.5,Non-Binary,Tablet,Bottom,News,Morning,1
4773,59.0,Male,Desktop,Top,Entertainment,Morning,0
6438,53.0,Non-Binary,Desktop,Bottom,Shopping,Night,1
9128,39.5,Female,Desktop,Top,Entertainment,Morning,0
9075,36.0,Female,Mobile,Bottom,Entertainment,Night,1
8372,52.0,Female,Desktop,Top,Entertainment,Afternoon,0
400,52.0,Non-Binary,Tablet,Side,Entertainment,Evening,1
8334,39.5,Male,Desktop,Top,Entertainment,Evening,0
1965,39.5,Female,Tablet,Bottom,Shopping,Morning,0
5403,61.0,Male,Desktop,Top,Education,Night,0
3333,30.0,Male,Tablet,Top,Entertainment,Evening,1
5501,28.0,Non-Binary,Mobile,Bottom,Entertainment,Morning,1
9617,63.0,Female,Tablet,Bottom,Shopping,Morning,1
7792,39.5,Male,Mobile,Bottom,Entertainment,Evening,0
3708,43.0,Male,Desktop,Top,Entertainment,Evening,0
3280,29.0,Female,Tablet,Side,Entertainment,Morning,0
2529,39.5,Female,Desktop,Top,Entertainment,Afternoon,1
8832,49.0,Female,Tablet,Side,Entertainment,Night,1
5945,42.0,Male,Desktop,Side,Entertainment,Morning,0
9723,39.5,Female,Mobile,Side,Entertainment,Evening,1
6268,39.5,Female,Desktop,Top,Entertainment,Night,1
5664,32.0,Male,Mobile,Top,Entertainment,Morning,0
6268,39.5,Female,Desktop,Top,Entertainment,Night,1
1945,20.0,Female,Tablet,Side,Entertainment,Morning,1
8058,25.0,Female,Mobile,Bottom,Entertainment,Afternoon,0
560,39.5,Female,Desktop,Side,Social Media,Morning,0
9806,58.0,Male,Tablet,Bottom,Entertainment,Morning,1
3299,44.0,Non-Binary,Tablet,Side,Entertainment,Evening,1
2336,32.0,Female,Tablet,Side,Entertainment,Morning,1
7466,47.0,Female,Mobile,Bottom,Shopping,Afternoon,1
4587,39.5,Female,Tablet,Top,Entertainment,Morning,0
1369,39.5,Female,Desktop,Bottom,Social Media,Morning,1
7438,53.0,Non-Binary,Mobile,Side,News,Morning,1
9162,39.5,Female,Mobile,Top,Entertainment,Night,0
1325,39.5,Female,Desktop,Side,Entertainment,Evening,1
5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
373,34.0,Female,Mobile,Bottom,Education,Evening,1
1148,25.0,Female,Mobile,Bottom,Entertainment,Morning,1
6167,20.0,Male,Mobile,Side,Entertainment,Night,1
5276,39.5,Female,Tablet,Side,Shopping,Afternoon,1
5338,51.0,Male,Mobile,Top,Social Media,Morning,1
6462,39.5,Female,Tablet,Side,Education,Evening,1
9266,38.0,Female,Mobile,Bottom,Education,Afternoon,1
1540,45.0,Female,Tablet,Top,Entertainment,Evening,0
1190,39.5,Non-Binary,Desktop,Bottom,Education,Morning,1
6188,20.0,Female,Desktop,Bottom,Entertainment,Morning,1
7988,39.5,Female,Mobile,Bottom,News,Evening,0
9789,39.5,Female,Tablet,Bottom,Entertainment,Morning,1
346,29.0,Male,Mobile,Top,News,Evening,0
5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
6160,39.5,Female,Tablet,Bottom,Entertainment,Evening,0
1549,56.0,Female,Desktop,Top,Entertainment,Afternoon,1
6980,62.0,Female,Desktop,Bottom,Social Media,Night,1
1077,39.5,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
5951,41.0,Female,Tablet,Top,Entertainment,Evening,0
5193,50.0,Female,Desktop,Bottom,Education,Morning,1
7526,39.5,Female,Desktop,Side,Entertainment,Evening,1
8956,39.5,Male,Tablet,Top,Entertainment,Morning,1
1601,41.0,Female,Tablet,Top,Education,Morning,0
3906,39.5,Non-Binary,Tablet,Bottom,Entertainment,Evening,1
8189,39.5,Female,Tablet,Top,Shopping,Morning,0
8190,26.0,Female,Mobile,Side,Entertainment,Morning,1
7973,28.0,Female,Mobile,Bottom,Entertainment,Morning,1
5629,39.5,Female,Tablet,Top,Entertainment,Morning,1
